Price,Close,High,Low,Open,Volume
Ticker,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS
Date,,,,,
2010-07-22,793.7942504882812,797.3528042164561,786.0123278445693,793.0512442133266,14070
2010-07-23,812.1148681640625,819.134211960619,793.4421897218649,797.7437491535753,49362
2010-07-26,807.5396118164062,824.6871350477725,802.4949983503652,813.7768540494145,93572
2010-07-27,805.5647583007812,815.3410296393829,803.6095040330608,804.391605740149,187112
2010-07-28,807.3440551757812,822.3799413331706,803.6681198860316,805.5647547058162,61976
2010-07-29,791.2131958007812,817.2962681345269,789.9227089147103,817.2962681345269,32986
2010-07-30,786.3250122070312,799.6989312291523,781.319542589656,799.6989312291523,69872
2010-08-02,787.9088134765625,796.7661249774396,786.18818015033,796.7661249774396,12474
2010-08-03,783.2748413085938,795.7688966925018,780.166006189991,786.6183451223883,24644
2010-08-04,781.3782348632812,795.104109613415,777.018008509458,783.2748218643404,28848
2010-08-05,786.8529663085938,792.9924454729703,778.2889432668954,782.1016890007743,76408
2010-08-06,789.16015625,793.5790020417519,782.101669587692,782.1407651240319,50590
2010-08-09,780.2833251953125,812.6036883728752,776.00133736578,782.4927721049679,69880
2010-08-10,778.3280639648438,787.9674771405267,772.3645383934328,783.2748668548263,129594
2010-08-11,765.7753295898438,780.9285500783444,760.7112401595795,774.2806856059699,50954
2010-08-12,762.70556640625,766.459644915841,760.3592613707933,765.6384477005707,19722
2010-08-13,767.1634521484375,776.2358113021252,756.6832719746156,762.5490337728685,30144
2010-08-16,760.6134643554688,784.056943394095,759.4207401852033,767.3004242507425,12220
2010-08-17,767.0658569335938,769.9791668352104,757.856589805301,762.5492002684917,73154
2010-08-18,760.0855712890625,768.0239231943648,758.6387021369999,766.459719684804,39844
2010-08-19,772.716552734375,777.2527334765656,755.1583583604258,759.8118734630013,63036
2010-08-20,788.7691650390625,797.3527124173473,773.1075588274133,773.1075588274133,62358
2010-08-23,771.0740966796875,797.6655548781903,762.9988869590316,797.6655548781903,41054
2010-08-24,760.8480224609375,780.3614675408797,758.638575824413,780.3614675408797,23422
2010-08-25,739.0079345703125,760.5939229552771,735.5666679068772,759.8118212350146,53774
2010-08-26,732.6142578125,741.0414234371618,726.9635916462711,741.0414234371618,77212
2010-08-27,732.3795166015625,748.4712673458179,730.5025013123321,738.3039460548088,56066
2010-08-30,740.6503295898438,746.9071433561782,735.9577192650928,735.9577192650928,31432
2010-08-31,727.6282958984375,742.9966133638752,720.4720940006156,742.9966133638752,32194
2010-09-01,735.2733764648438,739.0665506968281,727.6283130892778,727.6283130892778,27854
2010-09-02,745.6166381835938,757.0548755703761,733.2203453065574,733.2203453065574,55170
2010-09-03,749.4097900390625,764.113291108964,746.9070552805124,746.9070552805124,20602
2010-09-06,749.5858764648438,760.5939683821425,742.9966786252292,756.6834595472728,26460
2010-09-07,749.56640625,755.1193100989618,748.8624955150243,750.4266991610086,16196
2010-09-08,750.1724243164062,754.337125614607,747.298209979012,749.2534643222327,26550
2010-09-09,749.56640625,752.3819537184892,744.9519864000633,746.9072409575438,46600
2010-09-13,764.0547485351562,771.7389078360227,747.7479460146606,749.4881033277117,92502
2010-09-14,758.052001953125,770.2136727055693,755.138692486892,769.9790517646135,17592
2010-09-15,754.0828247070312,760.2027794695501,749.4488821262308,760.2027794695501,20690
2010-09-16,749.56640625,752.7730046299853,748.0803936920321,750.8177500725047,41448
2010-09-17,765.0126953125,768.0237673631802,747.7086974989456,748.8622782589053,70300
2010-09-20,792.620849609375,793.8330975017714,766.85059320245,768.4147963502368,135174
2010-09-21,809.5728759765625,812.6035195166269,775.0822163310089,797.7435899008271,74364
2010-09-22,816.2404174804688,822.7709472546081,786.8333663896462,809.4752190195052,96328
2010-09-23,815.2628784179688,825.8994430600675,803.6291149563034,819.2515782248302,63270
2010-09-24,826.1927490234375,834.4830086082696,804.782713283746,804.782713283746,98692
2010-09-27,843.5358276367188,846.5859478929015,821.2654053279911,826.7010694317147,179858
2010-09-28,844.1417236328125,848.9712389290453,821.9887352505082,822.9272189290351,59894
2010-09-29,876.3253784179688,881.0375602289635,844.6698313779676,844.6698313779676,474494
2010-09-30,864.202880859375,895.5065231764851,860.7029945464819,864.73083774064,62400
2010-10-01,880.2750854492188,886.4731844941901,865.0827208672453,868.132936766381,172842
2010-10-04,900.1209106445312,924.6202094338233,882.4062871592407,887.6854738982834,119130
2010-10-05,893.6098022460938,915.4500301763659,887.6854201197567,887.6854201197567,76782
2010-10-06,895.701904296875,911.1484117056183,893.1600739637906,893.5902680548693,92112
2010-10-07,889.6603393554688,903.2884054813853,888.1743268909348,898.6349381157373,85598
2010-10-08,896.8360595703125,901.3331447382845,883.8141415045279,890.0318123742916,54836
2010-10-11,894.0009155273438,912.8691201581827,890.0317873531487,905.8302044409785,22966
2010-10-12,895.0567016601562,903.3273882602161,884.1658982062115,903.3273882602161,71358
2010-10-13,897.481201171875,903.3273918212014,888.4674607003333,891.595867252095,15078
2010-10-14,901.4112548828125,907.2378737281143,890.8919308744248,907.2378737281143,63658
2010-10-15,899.7103271484375,905.2632306426631,897.5595472726072,903.3275478486975,17210
2010-10-18,919.438720703125,924.7960981447526,868.5239201641864,885.4954885200336,56204
2010-10-19,920.1426391601562,938.4828856195408,919.3605374694124,926.3994526861072,81774
2010-10-20,923.3101196289062,929.918840229195,917.7962649360474,924.8351796223911,25894
2010-10-21,920.025146484375,934.3766909454762,919.7318584008183,926.7903440393605,23978
2010-10-22,918.1873779296875,924.8156706139039,917.0142254025201,919.751581299244,22886
2010-10-25,919.8885498046875,927.1034192428605,917.6594834744488,922.0979490257935,63186
2010-10-26,902.8583374023438,930.29051986057,900.472888722754,918.9696153949864,18810
2010-10-27,884.5177612304688,907.0031821007964,874.3895837574323,902.5452411950598,17048
2010-10-28,883.3446044921875,900.1989319806399,870.479071498221,884.1462777178983,179766
2010-10-29,869.0910034179688,883.3447888054855,864.222439088426,883.3447888054855,29844
2010-11-01,859.9403686523438,877.9091356530569,856.4013394566568,865.0044579352168,52112
2010-11-02,876.286376953125,888.8586241880773,850.7507361432783,875.5628946577673,108046
2010-11-03,868.1719360351562,882.6212442799316,862.2670306525629,877.8308718874174,23128
2010-11-04,869.9317016601562,876.7163761768496,864.2614647095412,864.2614647095412,9384
2010-11-08,896.8751220703125,901.2940157577444,880.2163177164182,899.4169525884973,80682
2010-11-09,900.2382202148438,912.712704421765,896.034423482824,897.4617209288563,80454
2010-11-10,882.1128540039062,913.0644870530366,877.1269562366227,900.5900045532511,43184
2010-11-11,881.6239624023438,900.9809755489022,880.2552847051123,900.9809755489022,18052
2010-11-12,871.3785400390625,889.6405937931988,867.3506975970615,880.6464251526522,13548
2010-11-15,873.236083984375,879.8448048906168,852.3734838012864,868.1328515062418,28704
2010-11-16,887.8224487304688,899.0260188234581,866.5883657727182,868.5240486328405,83368
2010-11-18,890.501220703125,907.2382207667272,872.5128766706813,895.5066920499161,11804
2010-11-19,871.1439208984375,898.2437626984198,868.1328485809717,895.5064068695608,7964
2010-11-22,884.4983520507812,889.2300097789906,872.2388704245155,873.9985991476316,12226
2010-11-23,876.1102294921875,889.5428635095401,857.3985048126398,887.6853720921666,15908
2010-11-24,863.6357421875,889.2495710818995,860.7028610163856,881.8196054484096,8658
2010-11-25,820.4443969726562,875.7585301868958,805.6822248295192,864.0270026559259,53794
2010-11-26,824.0418701171875,840.7397216381672,739.0860764130902,827.0725140813153,56240
2010-11-29,828.3043823242188,840.348768508552,811.8216259398691,825.117355844472,14076
2010-11-30,833.1729736328125,840.1727456124931,817.726465160998,830.5724282148452,25316
2010-12-01,848.6780395507812,856.401293222537,829.0277359049217,830.982989999037,8280
